源路径,目标路径,大小_字节
B:\vbench_struct\04_评测结果\原始JSON\dynamic_degree__results_2026-07-07-07_18_59_full_info.json,B:\vbench_github_clean\results\原始JSON\dynamic_degree__results_2026-07-07-07_18_59_full_info.json,30248
B:\vbench_struct\04_评测结果\原始JSON\imaging_quality__results_2026-07-07-07_21_24_full_info.json,B:\vbench_github_clean\results\原始JSON\imaging_quality__results_2026-07-07-07_21_24_full_info.json,42595
B:\vbench_struct\04_评测结果\原始JSON\subject_consistency__results_2026-07-07-07_16_10_full_info.json,B:\vbench_github_clean\results\原始JSON\subject_consistency__results_2026-07-07-07_16_10_full_info.json,30248
B:\vbench_struct\04_评测结果\原始JSON\temporal_flickering__results_2026-07-07-07_16_22_eval_results.json,B:\vbench_github_clean\results\原始JSON\temporal_flickering__results_2026-07-07-07_16_22_eval_results.json,24597
B:\vbench_struct\04_评测结果\原始JSON\temporal_flickering__results_2026-07-07-07_16_22_full_info.json,B:\vbench_github_clean\results\原始JSON\temporal_flickering__results_2026-07-07-07_16_22_full_info.json,33519
B:\vbench_struct\04_评测结果\维度日志_16\aesthetic_quality.log,B:\vbench_github_clean\logs\维度日志_16\aesthetic_quality.log,74809
B:\vbench_struct\04_评测结果\维度日志_16\appearance_style.log,B:\vbench_github_clean\logs\维度日志_16\appearance_style.log,80856
B:\vbench_struct\04_评测结果\维度日志_16\background_consistency.log,B:\vbench_github_clean\logs\维度日志_16\background_consistency.log,54258
B:\vbench_struct\04_评测结果\维度日志_16\color.log,B:\vbench_github_clean\logs\维度日志_16\color.log,2752
B:\vbench_struct\04_评测结果\维度日志_16\dynamic_degree.log,B:\vbench_github_clean\logs\维度日志_16\dynamic_degree.log,55249
B:\vbench_struct\04_评测结果\维度日志_16\human_action.log,B:\vbench_github_clean\logs\维度日志_16\human_action.log,2722
B:\vbench_struct\04_评测结果\维度日志_16\imaging_quality.log,B:\vbench_github_clean\logs\维度日志_16\imaging_quality.log,240343
B:\vbench_struct\04_评测结果\维度日志_16\motion_smoothness.log,B:\vbench_github_clean\logs\维度日志_16\motion_smoothness.log,2726
B:\vbench_struct\04_评测结果\维度日志_16\multiple_objects.log,B:\vbench_github_clean\logs\维度日志_16\multiple_objects.log,2774
B:\vbench_struct\04_评测结果\维度日志_16\object_class.log,B:\vbench_github_clean\logs\维度日志_16\object_class.log,2766
B:\vbench_struct\04_评测结果\维度日志_16\overall_consistency.log,B:\vbench_github_clean\logs\维度日志_16\overall_consistency.log,2709
B:\vbench_struct\04_评测结果\维度日志_16\scene.log,B:\vbench_github_clean\logs\维度日志_16\scene.log,2682
B:\vbench_struct\04_评测结果\维度日志_16\spatial_relationship.log,B:\vbench_github_clean\logs\维度日志_16\spatial_relationship.log,2782
B:\vbench_struct\04_评测结果\维度日志_16\subject_consistency.log,B:\vbench_github_clean\logs\维度日志_16\subject_consistency.log,55382
B:\vbench_struct\04_评测结果\维度日志_16\temporal_flickering.log,B:\vbench_github_clean\logs\维度日志_16\temporal_flickering.log,71758
B:\vbench_struct\04_评测结果\维度日志_16\temporal_style.log,B:\vbench_github_clean\logs\维度日志_16\temporal_style.log,2693
B:\vbench_struct\04_评测结果\环境错误日志\detectron2_install.log,B:\vbench_github_clean\logs\环境错误日志\detectron2_install.log,124
B:\vbench_struct\04_评测结果\环境错误日志\detectron2_install.pid,B:\vbench_github_clean\logs\环境错误日志\detectron2_install.pid,8
B:\vbench_struct\04_评测结果\环境错误日志\detectron2_install_noiso.log,B:\vbench_github_clean\logs\环境错误日志\detectron2_install_noiso.log,62734
B:\vbench_struct\04_评测结果\环境错误日志\detectron2_install_noiso.pid,B:\vbench_github_clean\logs\环境错误日志\detectron2_install_noiso.pid,8
B:\vbench_struct\04_评测结果\环境错误日志\vbench_install.log,B:\vbench_github_clean\logs\环境错误日志\vbench_install.log,5
B:\vbench_struct\04_评测结果\环境错误日志\vbench_install.pid,B:\vbench_github_clean\logs\环境错误日志\vbench_install.pid,8
B:\vbench_struct\02_Consis生成\生成日志\consisid_official_vbench_v1_single_20260705_155651_finalize.log,B:\vbench_github_clean\logs\生成日志\consisid_official_vbench_v1_single_20260705_155651_finalize.log,87054
B:\vbench_struct\02_Consis生成\生成日志\consisid_official_vbench_v1_single_20260705_155651_finalizer.pid,B:\vbench_github_clean\logs\生成日志\consisid_official_vbench_v1_single_20260705_155651_finalizer.pid,8
B:\vbench_struct\02_Consis生成\生成日志\consisid_official_vbench_v1_single_20260705_155651_finalizer_stdout.log,B:\vbench_github_clean\logs\生成日志\consisid_official_vbench_v1_single_20260705_155651_finalizer_stdout.log,87054
B:\vbench_struct\02_Consis生成\生成日志\consisid_official_vbench_v1_single_20260705_155651_shard01.log,B:\vbench_github_clean\logs\生成日志\consisid_official_vbench_v1_single_20260705_155651_shard01.log,7290939
B:\vbench_struct\02_Consis生成\生成日志\consisid_official_vbench_v1_single_20260705_155651_shard01.pid,B:\vbench_github_clean\logs\生成日志\consisid_official_vbench_v1_single_20260705_155651_shard01.pid,8
B:\vbench_struct\02_Consis生成\生成日志\consisid_official_vbench_v1_single_20260705_155651_shard02.log,B:\vbench_github_clean\logs\生成日志\consisid_official_vbench_v1_single_20260705_155651_shard02.log,7289913
B:\vbench_struct\02_Consis生成\生成日志\consisid_official_vbench_v1_single_20260705_155651_shard02.pid,B:\vbench_github_clean\logs\生成日志\consisid_official_vbench_v1_single_20260705_155651_shard02.pid,8
B:\vbench_struct\02_Consis生成\生成日志\latest_batch.txt,B:\vbench_github_clean\logs\生成日志\latest_batch.txt,51
B:\vbench_struct\02_Consis生成\生成日志\link_report.json,B:\vbench_github_clean\logs\生成日志\link_report.json,295
B:\vbench_struct\04_评测结果\运行日志\consisid_official_vbench_v1_single_20260705_155651_finalize.log,B:\vbench_github_clean\logs\运行日志\consisid_official_vbench_v1_single_20260705_155651_finalize.log,87054
B:\vbench_struct\04_评测结果\运行日志\consisid_official_vbench_v1_single_20260705_155651_finalizer.pid,B:\vbench_github_clean\logs\运行日志\consisid_official_vbench_v1_single_20260705_155651_finalizer.pid,8
B:\vbench_struct\04_评测结果\运行日志\consisid_official_vbench_v1_single_20260705_155651_finalizer_stdout.log,B:\vbench_github_clean\logs\运行日志\consisid_official_vbench_v1_single_20260705_155651_finalizer_stdout.log,87054
B:\vbench_struct\04_评测结果\运行日志\consisid_official_vbench_v1_single_20260705_155651_shard01.log,B:\vbench_github_clean\logs\运行日志\consisid_official_vbench_v1_single_20260705_155651_shard01.log,7290939
B:\vbench_struct\04_评测结果\运行日志\consisid_official_vbench_v1_single_20260705_155651_shard01.pid,B:\vbench_github_clean\logs\运行日志\consisid_official_vbench_v1_single_20260705_155651_shard01.pid,8
B:\vbench_struct\04_评测结果\运行日志\consisid_official_vbench_v1_single_20260705_155651_shard02.log,B:\vbench_github_clean\logs\运行日志\consisid_official_vbench_v1_single_20260705_155651_shard02.log,7289913
B:\vbench_struct\04_评测结果\运行日志\consisid_official_vbench_v1_single_20260705_155651_shard02.pid,B:\vbench_github_clean\logs\运行日志\consisid_official_vbench_v1_single_20260705_155651_shard02.pid,8
B:\vbench_struct\04_评测结果\运行日志\download_status.txt,B:\vbench_github_clean\logs\运行日志\download_status.txt,2895
B:\vbench_struct\04_评测结果\运行日志\latest_batch.txt,B:\vbench_github_clean\logs\运行日志\latest_batch.txt,51
B:\vbench_struct\04_评测结果\运行日志\standard_named_video_filelist_remote.txt,B:\vbench_github_clean\logs\运行日志\standard_named_video_filelist_remote.txt,45268
B:\vbench_struct\02_Consis生成\prompts\official_vbench_v1_prompts.csv,B:\vbench_github_clean\inputs\prompts\official_vbench_v1_prompts.csv,303059
B:\vbench_struct\02_Consis生成\prompts\official_vbench_v1_prompts_summary.json,B:\vbench_github_clean\inputs\prompts\official_vbench_v1_prompts_summary.json,409
B:\vbench_struct\02_Consis生成\prompts\prompt_prompts_shard_01.csv,B:\vbench_github_clean\inputs\prompts\prompt_prompts_shard_01.csv,151662
B:\vbench_struct\02_Consis生成\prompts\prompt_prompts_shard_02.csv,B:\vbench_github_clean\inputs\prompts\prompt_prompts_shard_02.csv,151546
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_single_20260705_155651.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_single_20260705_155651.csv,182259
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_single_20260705_155651.generation_log.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_single_20260705_155651.generation_log.csv,827665
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_single_20260705_155651.generation_log.summary.json,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_single_20260705_155651.generation_log.summary.json,440
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_single_20260705_155651_shard01.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_single_20260705_155651_shard01.csv,91163
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_single_20260705_155651_shard01.generation_log.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_single_20260705_155651_shard01.generation_log.csv,414175
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_single_20260705_155651_shard02.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_single_20260705_155651_shard02.csv,91163
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_single_20260705_155651_shard02.generation_log.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_single_20260705_155651_shard02.generation_log.csv,413611
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_smoke_.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_smoke_.csv,67
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_smoke_.generation_log.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_smoke_.generation_log.csv,975
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_smoke_20260705_153659.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_smoke_20260705_153659.csv,67
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_smoke_20260705_153659.generation_log.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_smoke_20260705_153659.generation_log.csv,1005
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_smoke_20260705_153712.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_smoke_20260705_153712.csv,67
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_smoke_20260705_153712.generation_log.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_smoke_20260705_153712.generation_log.csv,1005
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_smoke_20260705_153741.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_smoke_20260705_153741.csv,619
B:\vbench_struct\02_Consis生成\manifests\consisid_official_vbench_v1_smoke_20260705_153741.generation_log.csv,B:\vbench_github_clean\manifest\generation\consisid_official_vbench_v1_smoke_20260705_153741.generation_log.csv,2609
B:\vbench_struct\02_Consis生成\脚本配置\build_official_vbench_v1_chinese_report.py,B:\vbench_github_clean\repro\scripts_and_configs\build_official_vbench_v1_chinese_report.py,14319
B:\vbench_struct\02_Consis生成\脚本配置\build_official_vbench_v1_inputs.py,B:\vbench_github_clean\repro\scripts_and_configs\build_official_vbench_v1_inputs.py,3666
B:\vbench_struct\02_Consis生成\脚本配置\finalize_consisid_official_vbench_v1_batch.sh,B:\vbench_github_clean\repro\scripts_and_configs\finalize_consisid_official_vbench_v1_batch.sh,1943
B:\vbench_struct\02_Consis生成\脚本配置\link_official_vbench_v1_standard_names.py,B:\vbench_github_clean\repro\scripts_and_configs\link_official_vbench_v1_standard_names.py,4349
B:\vbench_struct\02_Consis生成\脚本配置\merge_official_vbench_v1_shards.py,B:\vbench_github_clean\repro\scripts_and_configs\merge_official_vbench_v1_shards.py,3121
B:\vbench_struct\02_Consis生成\脚本配置\model_generation.consisid_official_vbench_v1.json,B:\vbench_github_clean\repro\scripts_and_configs\model_generation.consisid_official_vbench_v1.json,756
B:\vbench_struct\02_Consis生成\脚本配置\package_official_vbench_v1_snapshot.sh,B:\vbench_github_clean\repro\scripts_and_configs\package_official_vbench_v1_snapshot.sh,2813
B:\vbench_struct\02_Consis生成\脚本配置\run_consisid_official_vbench_v1.sh,B:\vbench_github_clean\repro\scripts_and_configs\run_consisid_official_vbench_v1.sh,7194
B:\vbench_struct\01_VBench评测\VBench-v1\README.md,B:\vbench_github_clean\repro\vbench_v1_minimal\README.md,25535
B:\vbench_struct\01_VBench评测\VBench-v1\README-pypi.md,B:\vbench_github_clean\repro\vbench_v1_minimal\README-pypi.md,5497
B:\vbench_struct\01_VBench评测\VBench-v1\requirements.txt,B:\vbench_github_clean\repro\vbench_v1_minimal\requirements.txt,335
B:\vbench_struct\01_VBench评测\VBench-v1\dimension_to_folder.json,B:\vbench_github_clean\repro\vbench_v1_minimal\dimension_to_folder.json,627
B:\vbench_struct\01_VBench评测\VBench-v1\evaluate.py,B:\vbench_github_clean\repro\vbench_v1_minimal\evaluate.py,5150
B:\vbench_struct\01_VBench评测\VBench-v1\setup.py,B:\vbench_github_clean\repro\vbench_v1_minimal\setup.py,2163
B:\vbench_struct\01_VBench评测\VBench-v1\vbench\__init__.py,B:\vbench_github_clean\repro\vbench_v1_minimal\__init__.py,8632
